Delta,New,Original,Difference
0.3,0.4926516625117511,0.45621994137763977,0.17247713990695773
0.3,0.3811284585446119,0.36898523569107056,0.14724273569881915
0.3,0.3292226592383813,0.27962052822113037,0.1657063922204543
0.3,0.7735412485999986,0.9160662293434143,0.18382500108052044
0.3,0.09774566524695547,0.0412900485098362,0.08321055957455246
0.3,0.6715952510796487,0.7935099601745605,0.1667504358328879
0.3,0.420014415204525,0.45675763487815857,0.2272728950381279
0.3,0.21197121003210487,0.10240013152360916,0.16919901464939174
0.3,0.4580333201152971,0.4563318192958832,0.23484335471561643
0.3,0.5671538951350376,0.6500195860862732,0.24480109787452967
